Computer ID,System Type,RAM Usage (%),CPU Usage (%),Disk Usage (%),Network Status,MissingPatchsKB,affected microsoft product ,Plateforme,Type of security risk,Severity,Download,Download (Link),CVE identifier(s)
CMP-1020,Workstation,31.6,42.2,46.0,Online,5062624,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49679
CMP-1021,Workstation,57.3,58.0,75.5,Offline,5062618,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49679
CMP-1022,Workstation,69.5,22.2,46.1,Unstable,5062560,Windows Server 2016 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49679
CMP-1023,Workstation,31.3,12.3,72.7,Online,5062560,Windows Server 2016,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49679
CMP-1024,Workstation,30.7,63.3,47.7,Online,5062560,Windows 10 Version 1607 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49679
CMP-1025,Workstation,49.9,16.3,80.9,Online,5062560,Windows 10 Version 1607 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49679
CMP-1026,Workstation,46.1,63.4,69.1,Online,5062561,Windows 10 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-49679
CMP-1027,Workstation,71.8,33.1,52.5,Online,5062561,Windows 10 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-49679
CMP-1028,Workstation,39.1,42.5,47.0,Online,5062553,Windows Server 2025,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49679
CMP-1029,Workstation,58.2,35.0,56.9,Offline,5062553,Windows 11 Version 24H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49679
CMP-1030,Workstation,76.6,39.3,74.7,Online,5062554,Windows 10 Version 21H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49675
CMP-1031,Workstation,75.0,64.0,46.3,Online,5062554,Windows 10 Version 21H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49675
CMP-1032,Workstation,54.9,35.8,74.0,Online,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49675
CMP-1033,Workstation,79.7,40.3,81.6,Online,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49675
CMP-1034,Workstation,32.5,38.1,43.7,Online,5062572,Windows Server 2022,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49675
CMP-1035,Workstation,69.6,50.9,46.9,Online,5062557,Windows Server 2019 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49675
CMP-1036,Workstation,60.1,19.7,54.9,Online,5062557,Windows Server 2019,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49675
CMP-1037,Workstation,59.4,44.5,64.0,Online,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49675
CMP-1038,Workstation,78.9,47.1,66.0,Online,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49675
CMP-1039,Workstation,53.9,22.3,76.3,Online,5062570,"Windows Server 2022, 23H2 Edition (Server Core installation)",Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062570,CVE-2025-49673
CMP-1040,Workstation,47.6,43.0,88.7,Online,5062553,Windows Server 2025 (Server Core installation),Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49673
CMP-1041,Workstation,77.9,26.6,49.0,Online,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49673
CMP-1042,Workstation,55.8,37.2,60.4,Online,5062572,Windows Server 2022,Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49673
CMP-1043,Workstation,30.1,54.6,84.8,Online,5062557,Windows Server 2019 (Server Core installation),Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49673
CMP-1044,Workstation,34.5,30.5,85.8,Online,5062557,Windows Server 2019,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49660
CMP-1045,Workstation,64.5,31.0,45.8,Online,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49660
CMP-1046,Workstation,59.2,31.2,83.0,Online,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-49660
CMP-1047,Workstation,57.7,26.2,43.9,Unstable,5062597,Windows Server 2012 R2 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062597,CVE-2025-49659
CMP-1048,Workstation,45.9,31.1,75.4,Offline,5062597,Windows Server 2012 R2,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062597,CVE-2025-49659
CMP-1049,Workstation,45.5,11.3,56.5,Online,5062592,Windows Server 2012 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062592,CVE-2025-49659
CMP-1050,Workstation,72.2,26.3,63.0,Unstable,5062592,Windows Server 2012,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062592,CVE-2025-49659
CMP-1051,Workstation,63.2,19.1,47.3,Online,5062632,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062632,CVE-2025-49659
CMP-1052,Workstation,68.0,12.4,61.2,Online,5062619,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062619,CVE-2025-49659
CMP-1053,Workstation,77.9,23.3,82.0,Online,5062632,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062632,CVE-2025-49659
CMP-1054,Workstation,42.4,63.3,53.0,Online,5062619,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062619,CVE-2025-49659
CMP-1055,Workstation,69.2,43.9,54.5,Unstable,5062624,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49659
CMP-1056,Workstation,51.3,46.5,40.5,Online,5062618,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49659
CMP-1057,Workstation,65.9,12.6,44.3,Offline,5062624,Windows Server 2008 for x64-based Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49659
CMP-1058,Workstation,58.5,40.4,64.3,Online,5062618,Windows Server 2008 for x64-based Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49659
CMP-1059,Workstation,60.2,54.0,66.0,Online,5062624,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49659
CMP-1060,Workstation,42.9,37.7,42.0,Online,5062618,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49659
CMP-1061,Workstation,42.8,31.1,81.6,Unstable,5062624,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49659
CMP-1062,Workstation,70.3,67.7,48.4,Online,5062618,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49659
CMP-1063,Workstation,63.3,63.0,47.9,Unstable,5062560,Windows Server 2016 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49659
CMP-1064,Workstation,71.8,59.3,66.6,Unstable,5062560,Windows Server 2016,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49659
CMP-1065,Workstation,32.4,16.4,72.9,Online,5062560,Windows 10 Version 1607 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49659
CMP-1066,Workstation,70.9,63.3,69.2,Online,5062560,Windows 10 Version 1607 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-49659
CMP-1067,Workstation,46.8,25.1,44.3,Unstable,5062561,Windows 10 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-49659
CMP-1068,Workstation,67.5,39.3,84.8,Online,5062561,Windows 10 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-49659
CMP-1069,Workstation,43.4,59.9,50.4,Online,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49659
CMP-1070,Workstation,48.0,26.7,69.9,Online,5062554,Windows 10 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48819
CMP-1071,Workstation,43.8,69.7,47.4,Online,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48819
CMP-1072,Workstation,50.6,52.7,59.2,Online,5062552,Windows 11 Version 22H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48819
CMP-1073,Workstation,74.7,39.5,60.6,Offline,5062554,Windows 10 Version 21H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48819
CMP-1074,Workstation,44.3,11.2,75.8,Online,5062554,Windows 10 Version 21H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48819
CMP-1075,Workstation,73.7,66.2,73.3,Offline,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48819
CMP-1076,Workstation,58.8,68.0,71.5,Online,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-48819
CMP-1077,Workstation,76.3,24.7,79.5,Online,5062572,Windows Server 2022,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-48819
CMP-1078,Workstation,65.6,28.6,58.2,Offline,5062557,Windows Server 2019 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48819
CMP-1079,Workstation,44.1,58.7,67.5,Online,5062557,Windows Server 2019,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48819
CMP-1080,Workstation,63.2,46.0,83.9,Online,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48819
CMP-1081,Workstation,37.3,58.4,77.4,Online,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48819
CMP-1082,Workstation,34.2,61.3,65.6,Online,5062560,Windows Server 2016 (Server Core installation),Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-48818
CMP-1083,Workstation,60.6,39.2,88.5,Online,5062560,Windows Server 2016,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-48818
CMP-1084,Workstation,74.4,27.7,88.1,Online,5062560,Windows 10 Version 1607 for x64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-48818
CMP-1085,Workstation,54.9,31.5,51.4,Online,5062624,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-48816
CMP-1086,Workstation,63.3,10.1,50.2,Online,5062618,Windows Server 2008 for 32-bit Systems Service Pack 2,Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-48816
CMP-1087,Workstation,76.3,39.3,62.1,Online,5062560,Windows Server 2016 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-48816
CMP-1088,Workstation,68.0,38.7,64.3,Unstable,5062560,Windows Server 2016,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-48816
CMP-1089,Workstation,36.5,52.3,67.1,Online,5062560,Windows 10 Version 1607 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-48816
CMP-1090,Workstation,57.2,46.8,51.1,Offline,5062560,Windows 10 Version 1607 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-48816
CMP-1091,Workstation,62.0,34.8,47.7,Online,5062561,Windows 10 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-48816
CMP-1092,Workstation,61.1,13.5,44.6,Unstable,5062561,Windows 10 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-48816
CMP-1093,Workstation,76.0,23.1,75.7,Unstable,5062553,Windows Server 2025,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-48816
CMP-1094,Workstation,30.8,23.2,53.6,Online,5062553,Windows 11 Version 24H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-48816
CMP-1095,Workstation,39.6,65.3,69.6,Online,5062553,Windows 11 Version 24H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-48816
CMP-1096,Workstation,59.2,11.4,58.0,Online,5062570,"Windows Server 2022, 23H2 Edition (Server Core installation)",Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062570,CVE-2025-48816
CMP-1097,Workstation,74.2,12.9,54.4,Unstable,5062552,Windows 11 Version 23H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48816
CMP-1098,Workstation,65.0,65.5,68.1,Online,5062552,Windows 11 Version 23H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48816
CMP-1099,Workstation,47.8,36.1,41.1,Offline,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48805
CMP-1100,Workstation,53.4,68.4,73.7,Online,5062552,Windows 11 Version 22H2 for ARM64-based Systems,Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48805
CMP-1101,Workstation,76.2,14.8,89.4,Offline,5062553,Windows 11 Version 24H2 for ARM64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-48804
CMP-1102,Workstation,43.9,36.5,61.8,Online,5062570,"Windows Server 2022, 23H2 Edition (Server Core installation)",Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062570,CVE-2025-48804
CMP-1103,Workstation,77.3,38.5,81.6,Online,5062552,Windows 11 Version 23H2 for x64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48804
CMP-1104,Workstation,59.8,11.6,70.7,Online,5062552,Windows 11 Version 23H2 for ARM64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48804
CMP-1105,Workstation,70.1,10.9,87.4,Online,5062553,Windows Server 2025 (Server Core installation),Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-48804
CMP-1106,Workstation,47.0,54.9,58.0,Online,5062554,Windows 10 Version 22H2 for 32-bit Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48804
CMP-1107,Workstation,67.3,49.4,79.5,Online,5062554,Windows 10 Version 22H2 for ARM64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48804
CMP-1108,Workstation,46.4,16.3,44.6,Unstable,5062554,Windows 10 Version 22H2 for x64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48804
CMP-1109,Workstation,44.0,14.0,67.0,Online,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48804
CMP-1110,Workstation,74.6,64.3,55.8,Online,5062552,Windows 11 Version 22H2 for ARM64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48804
CMP-1111,Workstation,78.3,30.9,45.8,Online,5062554,Windows 10 Version 21H2 for x64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48804
CMP-1112,Workstation,37.3,54.0,53.2,Unstable,5062554,Windows 10 Version 21H2 for ARM64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48804
CMP-1113,Workstation,47.0,21.8,69.3,Online,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48804
CMP-1114,Workstation,30.0,61.5,65.1,Offline,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-48804
CMP-1115,Workstation,45.0,67.2,67.4,Online,5062572,Windows Server 2022,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-48804
CMP-1116,Workstation,43.4,41.3,55.0,Unstable,5062557,Windows Server 2019 (Server Core installation),Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48804
CMP-1117,Workstation,66.1,10.3,88.8,Online,5062557,Windows Server 2019,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48804
CMP-1118,Workstation,44.4,48.5,50.1,Online,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48804
CMP-1119,Workstation,49.2,36.7,69.8,Online,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Security Feature Bypass,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-48804
CMP-1120,Workstation,59.9,51.8,80.8,Online,5062554,Windows 10 Version 22H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48000
CMP-1121,Workstation,68.4,12.8,71.6,Online,5062554,Windows 10 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48000
CMP-1122,Workstation,45.1,63.4,71.3,Online,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48000
CMP-1123,Workstation,41.5,41.9,47.4,Online,5062552,Windows 11 Version 22H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-48000
CMP-1124,Workstation,49.4,27.5,81.8,Online,5062554,Windows 10 Version 21H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48000
CMP-1125,Workstation,31.4,33.8,66.9,Offline,5062554,Windows 10 Version 21H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48000
CMP-1126,Workstation,77.8,28.8,51.6,Online,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-48000
CMP-1127,Workstation,75.5,46.8,50.3,Offline,5062592,Windows Server 2012 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062592,CVE-2025-47996
CMP-1128,Workstation,38.1,25.4,55.4,Online,5062592,Windows Server 2012,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062592,CVE-2025-47996
CMP-1129,Workstation,52.7,25.5,63.0,Offline,5062632,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062632,CVE-2025-47996
CMP-1130,Workstation,60.5,40.2,78.3,Online,5062619,Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062619,CVE-2025-47996
CMP-1131,Workstation,69.7,50.2,70.6,Online,5062632,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Unknown Platform,Elevation of Privilege,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062632,CVE-2025-47996
